,player_name,goals,year
13, Kevin Nolan,12,2010/2011
14, Didier Drogba,11,2010/2011
15, Wayne Rooney,11,2010/2011
16, Johan Elmander,10,2010/2011
17, Steven Fletcher,10,2010/2011
18, Asamoah Gyan,10,2010/2011
19, Salomon Kalou,10,2010/2011
0, Frank Lampard,10,2010/2011
1, Samir Nasri,10,2010/2011
2, Maxi Rodríguez,10,2010/2011
3, Fernando Torres,10,2010/2011
4, Nani,9,2010/2011
5, Tim Cahill,9,2010/2011
6, Kenwyne Jones,9,2010/2011
7, Charles N'Zogbia,9,2010/2011
8, Roman Pavlyuchenko,9,2010/2011
9, Hugo Rodallega,9,2010/2011
10, Theo Walcott,9,2010/2011
11, Jermaine Beckford,8,2010/2011
12, Kevin Davies,8,2010/2011
13, Craig Gardner,8,2010/2011
14, Daniel Sturridge,8,2010/2011
15, Yaya Touré,8,2010/2011
16, Demba Ba,7,2010/2011
17, Gareth Bale,7,2010/2011
18, Marouane Chamakh,7,2010/2011
19, Stewart Downing,7,2010/2011
0, Sylvan Ebanks-Blake,7,2010/2011
1, Youssouf Mulumbu,7,2010/2011
2, Louis Saha,7,2010/2011
3, Ashley Young,7,2010/2011
4, Shola Ameobi,6,2010/2011
5, Nicolas Anelka,6,2010/2011
6, Andrey Arshavin,6,2010/2011
7, Mario Balotelli,6,2010/2011
8, Leon Best,6,2010/2011
9, Brede Hangeland,6,2010/2011
10, Robert Huth,6,2010/2011
11, Peter Løvenkrands,6,2010/2011
12, Frédéric Piquionne,6,2010/2011
13, Gary Taylor-Fletcher,6,2010/2011
14, Somen Tchoyi,6,2010/2011
15, Jonathan Walters,6,2010/2011
16, Danny Welbeck,6,2010/2011
17, Marc Albrighton,5,2010/2011
18, Leighton Baines,5,2010/2011
19, Carlton Cole,5,2010/2011
0, Kevin Doyle,5,2010/2011
1, Matthew Etherington,5,2010/2011
2, Marlon Harewood,5,2010/2011
3, David Junior Hoilett,5,2010/2011
4, Nikola Kalinic,5,2010/2011
5, Raul Meireles,5,2010/2011
6, Park Ji-Sung,5,2010/2011
7, Scott Parker,5,2010/2011
8, Jason Roberts,5,2010/2011
9, Luke Varney,5,2010/2011
10, Nemanja Vidic,5,2010/2011
11, Bobby Zamora,5,2010/2011
12, Nikola Zigic,5,2010/2011
13, Joey Barton,4,2010/2011
14, Lee Bowyer,4,2010/2011
15, Chris Brunt,4,2010/2011
16, Seamus Coleman,4,2010/2011
17, Peter Crouch,4,2010/2011
18, Simon Davies,4,2010/2011
19, Jermain Defoe,4,2010/2011
0, Damien Duff,4,2010/2011
1, Brett Emerton,4,2010/2011
2, Ricardo Fuller,4,2010/2011
3, Steven Gerrard,4,2010/2011
4, Branislav Ivanovic,4,2010/2011
5, Matthew Jarvis,4,2010/2011
6, Adam Johnson,4,2010/2011
7, Ivan Klasnic,4,2010/2011
8, Sebastian Larsson,4,2010/2011
9, James Morrison,4,2010/2011
10, Mark Noble,4,2010/2011
11, Leon Osman,4,2010/2011
12, Morten Gamst Pedersen,4,2010/2011
13, Kieran Richardson,4,2010/2011
14, Liam Ridgewell,4,2010/2011
15, Christopher Samba,4,2010/2011
16, Paul Scharner,4,2010/2011
17, David Silva,4,2010/2011
18, Alexandre Song,4,2010/2011
19, Luis Suárez,4,2010/2011
0, Gabriel Agbonlahor,3,2010/2011
1, Mikel Arteta,3,2010/2011
2, Phil Bardsley,3,2010/2011
3, Gary Cahill,3,2010/2011
4, Ciaran Clark,3,2010/2011
5, Tom Cleverley,3,2010/2011
6, James Collins,3,2010/2011
7, Mousa Dembélé,3,2010/2011
8, Mame Biram Diouf,3,2010/2011
9, Michael Essien,3,2010/2011
10, Cesc Fàbregas,3,2010/2011
11, Jonás Gutiérrez,3,2010/2011
12, Jordan Henderson,3,2010/2011
13, Emile Heskey,3,2010/2011
14, Stephen Hunt,3,2010/2011
15, Cameron Jerome,3,2010/2011
16, Andrew Johnson,3,2010/2011
17, Lee Chung-yong,3,2010/2011
18, Aaron Lennon,3,2010/2011
19, Joleon Lescott,3,2010/2011
0, James McCarthy,3,2010/2011
1, Luka Modric,3,2010/2011
2, Benjani,3,2010/2011
3, Ryan Nelsen,3,2010/2011
4, Jamie O'Hara,3,2010/2011
5, Victor Obinna,3,2010/2011
6, Jermaine Pennant,3,2010/2011
7, Martin Petrov,3,2010/2011
8, Jason Puncheon,3,2010/2011
9, Stéphane Sessegnon,3,2010/2011
10, Steven Taylor,3,2010/2011
11, John Terry,3,2010/2011
12, Jerome Thomas,3,2010/2011
13, Carlos Vela,3,2010/2011
14, Ben Watson,3,2010/2011
15, Abou Diaby,2,2010/2011
16, Chris Baird,2,2010/2011
17, Alex Baptiste,2,2010/2011
18, Gareth Barry,2,2010/2011
19, Jean Beausejour,2,2010/2011
0, Valon Behrami,2,2010/2011
1, Nicklas Bendtner,2,2010/2011
2, Diniyar Bilyaletdinov,2,2010/2011
3, Joe Cole,2,2010/2011
4, Fabricio Coloccini,2,2010/2011
5, Scott Dann,2,2010/2011
6, Rory Delap,2,2010/2011
7, Alex,2,2010/2011
8, Sylvain Distin,2,2010/2011
9, David Dunn,2,2010/2011
10, Edin Dzeko,2,2010/2011
11, George Elokobi,2,2010/2011
12, Dickson Etuhu,2,2010/2011
13, Darren Fletcher,2,2010/2011
14, Kevin Foley,2,2010/2011
15, Marc-Antoine Fortuné,2,2010/2011
16, Ryan Giggs,2,2010/2011
17, Danny Higginbotham,2,2010/2011
18, Thomas Hitzlsperger,2,2010/2011
19, Stuart Holden,2,2010/2011
0, Tom Huddlestone,2,2010/2011
1, Alan Hutton,2,2010/2011
2, Glen Johnson,2,2010/2011
3, Roger Johnson,2,2010/2011
4, Diomansy Kamara,2,2010/2011
5, Robbie Keane,2,2010/2011
6, Laurent Koscielny,2,2010/2011
7, Niko Kranjcar,2,2010/2011
8, Sotirios Kyrgiakos,2,2010/2011
9, David Luiz,2,2010/2011
10, Nenad Milijas,2,2010/2011
11, David N'Gog,2,2010/2011
12, Martin Olsson,2,2010/2011
13, Michael Owen,2,2010/2011
14, Ramires,2,2010/2011
15, Steve Sidwell,2,2010/2011
16, Martin Skrtel,2,2010/2011
17, Matthew Taylor,2,2010/2011
18, David Vaughan,2,2010/2011
19, Patrick Vieira,2,2010/2011
0, Dean Whitehead,2,2010/2011
1, Pablo Zabaleta,2,2010/2011
2, Boudewijn Zenden,2,2010/2011
3, Emmanuel Adebayor,1,2010/2011
4, Yakubu,1,2010/2011
5, Antolin Alcaraz,1,2010/2011
6, Ryan Babel,1,2010/2011
7, Sebastien Bassong,1,2010/2011
8, Hatem Ben Arfa,1,2010/2011
9, Yossi Benayoun,1,2010/2011
10, Robbie Blake,1,2010/2011
11, John Carew,1,2010/2011
12, Craig Cathcart,1,2010/2011
13, Tamir Cohen,1,2010/2011
14, Simon Cox,1,2010/2011
15, Jody Craddock,1,2010/2011
16, Manuel da Costa,1,2010/2011
17, Fabio,1,2010/2011
18, Mark Davies,1,2010/2011
19, Michael Dawson,1,2010/2011
0, Anderson,1,2010/2011
1, Nigel de Jong,1,2010/2011
2, Nathan Delfouneso,1,2010/2011
3, Franco Di Santo,1,2010/2011
4, Mohamed Diamé,1,2010/2011
5, Johan Djourou,1,2010/2011
6, Graham Dorrans,1,2010/2011
7, Neal Eardley,1,2010/2011
8, Emmanuel Eboué,1,2010/2011
9, David Edwards,1,2010/2011
10, Ian Evatt,1,2010/2011
11, Patrice Evra,1,2010/2011
12, Keith Fahey,1,2010/2011
13, Abdoulaye Faye,1,2010/2011
14, Marouane Fellaini,1,2010/2011
15, Maynor Figueroa,1,2010/2011
16, Zoltán Gera,1,2010/2011
17, Gaël Givet,1,2010/2011
18, Steve Gohouri,1,2010/2011
19, Jordi Gómez,1,2010/2011
0, Elliot Grandin,1,2010/2011
1, Adlène Guédioura,1,2010/2011
2, Sandro,1,2010/2011
3, John Heitinga,1,2010/2011
4, Alyaksandr Hleb,1,2010/2011
5, Aaron Hughes,1,2010/2011
6, Pablo Ibáñez,1,2010/2011
7, Phil Jagielka,1,2010/2011
8, Gonzalo Jara,1,2010/2011
9, David Jones,1,2010/2011
10, Younes Kaboul,1,2010/2011
11, Gaël Kakuta,1,2010/2011
12, Zat Knight,1,2010/2011
13, Aleksandar Kolarov,1,2010/2011
14, Federico Macheda,1,2010/2011
15, James Milner,1,2010/2011
16, Rodrigo Moreno,1,2010/2011
17, Victor Moses,1,2010/2011
18, Fabrice Muamba,1,2010/2011
19, Sulley Muntari,1,2010/2011
0, Steven N'Zonzi,1,2010/2011
1, Phil Neville,1,2010/2011
2, Jonas Olsson,1,2010/2011
3, Nedum Onuoha,1,2010/2011
4, Brett Ormerod,1,2010/2011
5, Stiliyan Petrov,1,2010/2011
6, Matt Phillips,1,2010/2011
7, Kevin Phillips,1,2010/2011
8, Steven Pienaar,1,2010/2011
9, Aaron Ramsey,1,2010/2011
10, Steven Reid,1,2010/2011
11, Micah Richards,1,2010/2011
12, Cristian Riveros,1,2010/2011
13, Bacary Sagna,1,2010/2011
14, Conor Sammon,1,2010/2011
15, Tuncay Sanli,1,2010/2011
16, Paul Scholes,1,2010/2011
17, Freddie Sears,1,2010/2011
18, Ryan Shawcross,1,2010/2011
19, Jonathan Spector,1,2010/2011
0, Sébastien Squillaci,1,2010/2011
1, Ronnie Stam,1,2010/2011
2, Junior Stanislas,1,2010/2011
3, Grétar Steinsson,1,2010/2011
4, Cheick Tioté,1,2010/2011
5, James Tomkins,1,2010/2011
6, Kolo Touré,1,2010/2011
7, Antonio Valencia,1,2010/2011
8, Jelle Van Damme,1,2010/2011
9, Kyle Walker,1,2010/2011
10, Stephen Ward,1,2010/2011
11, Jack Wilshere,1,2010/2011
12, Marc Wilson,1,2010/2011
13, Luke Young,1,2010/2011
14, Ronald Zubar,1,2010/2011
0, Didier Drogba,29,2009/2010
1, Wayne Rooney,26,2009/2010
2, Darren Bent,24,2009/2010
3, Carlos Tevez,23,2009/2010
4, Frank Lampard,22,2009/2010
5, Jermain Defoe,18,2009/2010
6, Fernando Torres,18,2009/2010
7, Cesc Fàbregas,15,2009/2010
8, Emmanuel Adebayor,14,2009/2010
9, Gabriel Agbonlahor,13,2009/2010
10, Louis Saha,13,2009/2010
11, Dimitar Berbatov,12,2009/2010
12, Florent Malouda,12,2009/2010
13, Nicolas Anelka,11,2009/2010
14, Cameron Jerome,11,2009/2010
15, Andrey Arshavin,10,2009/2010
16, Craig Bellamy,10,2009/2010
17, John Carew,10,2009/2010
18, Carlton Cole,10,2009/2010
19, Hugo Rodallega,10,2009/2010
0, Kevin Doyle,9,2009/2010
1, David Dunn,9,2009/2010
2, Steven Gerrard,9,2009/2010
3, Kenwyne Jones,9,2009/2010
4, Dirk Kuyt,9,2009/2010
5, Robin van Persie,9,2009/2010
6, Tim Cahill,8,2009/2010
7, Peter Crouch,8,2009/2010
8, Aruna Dindane,8,2009/2010
9, Steven Fletcher,8,2009/2010
10, Ivan Klasnic,8,2009/2010
11, Matthew Taylor,8,2009/2010
12, Bobby Zamora,8,2009/2010
13, Graham Alexander,7,2009/2010
14, Kevin Davies,7,2009/2010
15, Clint Dempsey,7,2009/2010
16, Alessandro Diamanti,7,2009/2010
17, James Milner,7,2009/2010
18, Thomas Vermaelen,7,2009/2010
19, Abou Diaby,6,2009/2010
0, Mikel Arteta,6,2009/2010
1, Yossi Benayoun,6,2009/2010
2, Nicklas Bendtner,6,2009/2010
3, Diniyar Bilyaletdinov,6,2009/2010
4, Damien Duff,6,2009/2010
5, Stephen Hunt,6,2009/2010
6, Robbie Keane,6,2009/2010
7, Niko Kranjcar,6,2009/2010
8, David Nugent,6,2009/2010
9, Yakubu,5,2009/2010
10, Lee Bowyer,5,2009/2010
11, Jimmy Bullard,5,2009/2010
12, Gary Cahill,5,2009/2010
13, Jody Craddock,5,2009/2010
14, Matthew Etherington,5,2009/2010
15, Guillermo Franco,5,2009/2010
16, Ryan Giggs,5,2009/2010
17, Salomon Kalou,5,2009/2010
18, James McFadden,5,2009/2010
19, Danny Murphy,5,2009/2010
0, David N'Gog,5,2009/2010
1, Charles N'Zogbia,5,2009/2010
2, Roman Pavlyuchenko,5,2009/2010
3, Frédéric Piquionne,5,2009/2010
4, Jason Roberts,5,2009/2010
5, Antonio Valencia,5,2009/2010
6, Ashley Young,5,2009/2010
7, Nani,4,2009/2010
8, Ilan Araujo,4,2009/2010
9, Ryan Babel,4,2009/2010
10, Michael Ballack,4,2009/2010
11, Fraizer Campbell,4,2009/2010
12, Ashley Cole,4,2009/2010
13, Wade Elliott,4,2009/2010
14, Darren Fletcher,4,2009/2010
15, Sebastian Larsson,4,2009/2010
16, Lee Chung-yong,4,2009/2010
17, Ryan Nelsen,4,2009/2010
18, Martin Paterson,4,2009/2010
19, Martin Petrov,4,2009/2010
0, Kevin Phillips,4,2009/2010
1, Steven Pienaar,4,2009/2010
2, Christopher Samba,4,2009/2010
3, Tuncay Sanli,4,2009/2010
4, Paul Scharner,4,2009/2010
5, Steven Thompson,4,2009/2010
6, Shaun Wright-Phillips,4,2009/2010
7, Gareth Bale,3,2009/2010
8, James Beattie,3,2009/2010
9, Nadir Belhadj,3,2009/2010
10, Christian Benitez,3,2009/2010
11, Kevin-Prince Boateng,3,2009/2010
12, Emmerson Boyce,3,2009/2010
13, Michael Carrick,3,2009/2010
14, Tamir Cohen,3,2009/2010
15, Geovanni,3,2009/2010
16, El Hadji Diouf,3,2009/2010
17, Richard Dunne,3,2009/2010
18, Johan Elmander,3,2009/2010
19, Michael Essien,3,2009/2010
0, Ricardo Fuller,3,2009/2010
1, William Gallas,3,2009/2010
2, Emile Heskey,3,2009/2010
3, Robert Huth,3,2009/2010
4, Matthew Jarvis,3,2009/2010
5, Glen Johnson,3,2009/2010
6, Younes Kaboul,3,2009/2010
7, Dave Kitson,3,2009/2010
8, Aaron Lennon,3,2009/2010
9, Luka Modric,3,2009/2010
10, Erik Nevland,3,2009/2010
11, Michael Owen,3,2009/2010
12, Park Ji-Sung,3,2009/2010
13, Morten Gamst Pedersen,3,2009/2010
14, Denilson,3,2009/2010
15, Aaron Ramsey,3,2009/2010
16, Micah Richards,3,2009/2010
17, Liam Ridgewell,3,2009/2010
18, Tomas Rosicky,3,2009/2010
19, Roque Santa Cruz,3,2009/2010
0, Paul Scholes,3,2009/2010
1, Junior Stanislas,3,2009/2010
2, Matt Upson,3,2009/2010
3, Jan Vennegoor of Hesselink,3,2009/2010
4, Theo Walcott,3,2009/2010
5, Eduardo da Silva,2,2009/2010
6, Gareth Barry,2,2009/2010
7, David Bentley,2,2009/2010
8, Robbie Blake,2,2009/2010
9, Titus Bramble,2,2009/2010
10, Michael Brown,2,2009/2010
11, Gary Caldwell,2,2009/2010
12, Joe Cole,2,2009/2010
13, Jack Collison,2,2009/2010
14, Carlos Cuellar,2,2009/2010
15, Manuel da Costa,2,2009/2010
16, Michael Dawson,2,2009/2010
17, Deco,2,2009/2010
18, Landon Donovan,2,2009/2010
19, Stewart Downing,2,2009/2010
0, Chris Eagles,2,2009/2010
1, Sylvan Ebanks-Blake,2,2009/2010
2, Craig Fagan,2,2009/2010
3, Abdoulaye Faye,2,2009/2010
4, Marouane Fellaini,2,2009/2010
5, Caleb Folan,2,2009/2010
6, Zoltán Gera,2,2009/2010
7, Darron Gibson,2,2009/2010
8, Gaël Givet,2,2009/2010
9, Dan Gosling,2,2009/2010
10, Tom Huddlestone,2,2009/2010
11, Stephen Ireland,2,2009/2010
12, Nikola Kalinic,2,2009/2010
13, Kanu,2,2009/2010
14, Ledley King,2,2009/2010
15, Vincent Kompany,2,2009/2010
16, Radoslav Kovac,2,2009/2010
17, Nenad Milijas,2,2009/2010
18, Steven N'Zonzi,2,2009/2010
19, Samir Nasri,2,2009/2010
0, Mark Noble,2,2009/2010
1, Jamie O'Hara,2,2009/2010
2, Stefano Okaka,2,2009/2010
3, Leon Osman,2,2009/2010
4, Scott Parker,2,2009/2010
5, Andy Reid,2,2009/2010
6, Jack Rodwell,2,2009/2010
7, Ryan Shawcross,2,2009/2010
8, Mamady Sidibe,2,2009/2010
9, John Terry,2,2009/2010
10, Michael Turner,2,2009/2010
11, Glenn Whelan,2,2009/2010
12, Hassan Yebda,2,2009/2010
13, Kamil Zayatte,2,2009/2010
14, Boudewijn Zenden,2,2009/2010
15, Jozy Altidore,1,2009/2010
16, Keith Andrews,1,2009/2010
17, Victor Anichebe,1,2009/2010
18, Alberto Aquilani,1,2009/2010
19, Benoit Assou-Ekotto,1,2009/2010
0, Will Atkinson,1,2009/2010
1, Leighton Baines,1,2009/2010
2, Sebastien Bassong,1,2009/2010
3, Valon Behrami,1,2009/2010
4, André Bikey,1,2009/2010
5, Luis Boa Morte,1,2009/2010
6, George Boateng,1,2009/2010
7, Tom Cairney,1,2009/2010
8, Steven Caldwell,1,2009/2010
9, Pascal Chimbonda,1,2009/2010
10, James Collins,1,2009/2010
11, Jack Cork,1,2009/2010
12, Vedran Corluka,1,2009/2010
13, Mark Cullen,1,2009/2010
14, Curtis Davies,1,2009/2010
15, Andy Dawson,1,2009/2010
16, Anderson,1,2009/2010
17, Nathan Delfouneso,1,2009/2010
18, Franco Di Santo,1,2009/2010
19, Mohamed Diamé,1,2009/2010
0, Salif Diao,1,2009/2010
1, Alex,1,2009/2010
2, Mame Biram Diouf,1,2009/2010
3, Emmanuel Eboué,1,2009/2010
4, David Edwards,1,2009/2010
5, David Elm,1,2009/2010
6, Julien Faubert,1,2009/2010
7, Maynor Figueroa,1,2009/2010
8, Daniel Fox,1,2009/2010
9, Ricardo Gardner,1,2009/2010
10, Craig Gardner,1,2009/2010
11, Javier Garrido,1,2009/2010
12, Kamel Ghilas,1,2009/2010
13, Steve Gohouri,1,2009/2010
14, Jordi Gómez,1,2009/2010
15, Jonathan Greening,1,2009/2010
16, Eidur Gudjohnsen,1,2009/2010
17, Adlène Guédioura,1,2009/2010
18, Brede Hangeland,1,2009/2010
19, Jordan Henderson,1,2009/2010
0, Danny Higginbotham,1,2009/2010
1, Zavon Hines,1,2009/2010
2, Hermann Hreidarsson,1,2009/2010
3, Branislav Ivanovic,1,2009/2010
4, Jermaine Jenas,1,2009/2010
5, Luis Jiménez,1,2009/2010
6, Adam Johnson,1,2009/2010
7, David Jones,1,2009/2010
8, Diomansy Kamara,1,2009/2010
9, Andy Keogh,1,2009/2010
10, Kevin Kilbane,1,2009/2010
11, Zat Knight,1,2009/2010
12, Paul Konchesky,1,2009/2010
13, Jason Koumas,1,2009/2010
14, Sotirios Kyrgiakos,1,2009/2010
15, Liam Lawrence,1,2009/2010
16, Joleon Lescott,1,2009/2010
17, Federico Macheda,1,2009/2010
18, Stefan Maierhofer,1,2009/2010
19, Dean Marney,1,2009/2010
0, Benni McCarthy,1,2009/2010
1, James McCarthy,1,2009/2010
2, Kevin McDonald,1,2009/2010
3, John Mensah,1,2009/2010
4, Fran Mérida,1,2009/2010
5, Victor Moses,1,2009/2010
6, Steven Mouyokolo,1,2009/2010
7, Fabrice Muamba,1,2009/2010
8, Garry O'Connor,1,2009/2010
9, John O'Shea,1,2009/2010
10, Seyi Olofinjana,1,2009/2010
11, Martin Olsson,1,2009/2010
12, Nedum Onuoha,1,2009/2010
13, Wilson Palacios,1,2009/2010
14, Rafael,1,2009/2010
15, Danny Pugh,1,2009/2010
16, Kieran Richardson,1,2009/2010
17, Maxi Rodríguez,1,2009/2010
18, Danny Rose,1,2009/2010
19, Jason Scotland,1,2009/2010
0, Mikaël Silvestre,1,2009/2010
1, Scott Sinclair,1,2009/2010
2, Martin Skrtel,1,2009/2010
3, Tommy Smith,1,2009/2010
4, Alexandre Song,1,2009/2010
5, Richard Stearman,1,2009/2010
6, Daniel Sturridge,1,2009/2010
7, Kolo Touré,1,2009/2010
8, John Utaka,1,2009/2010
9, James Vaughan,1,2009/2010
10, Carlos Vela,1,2009/2010
11, Nemanja Vidic,1,2009/2010
12, Patrick Vieira,1,2009/2010
13, Ben Watson,1,2009/2010
14, Danny Webber,1,2009/2010
15, Jack Wilshere,1,2009/2010
16, Joseph Yobo,1,2009/2010
17, Ronald Zubar,1,2009/2010
0, Nicolas Anelka,19,2008/2009
1, Cristiano Ronaldo,18,2008/2009
2, Steven Gerrard,16,2008/2009
3, Robinho,14,2008/2009
4, Fernando Torres,14,2008/2009
5, Gabriel Agbonlahor,12,2008/2009
6, Darren Bent,12,2008/2009
7, Kevin Davies,12,2008/2009
8, Dirk Kuyt,12,2008/2009
9, Frank Lampard,12,2008/2009
10, Wayne Rooney,12,2008/2009
11, John Carew,11,2008/2009
12, Peter Crouch,11,2008/2009
13, Ricardo Fuller,11,2008/2009
14, Robin van Persie,11,2008/2009
15, Emmanuel Adebayor,10,2008/2009
16, Djibril Cissé,10,2008/2009
17, Carlton Cole,10,2008/2009
18, Jermain Defoe,10,2008/2009
19, Kenwyne Jones,10,2008/2009
0, Robbie Keane,10,2008/2009
1, Benni McCarthy,10,2008/2009
2, Matthew Taylor,10,2008/2009
3, Amr Zaki,10,2008/2009
4, Nicklas Bendtner,9,2008/2009
5, Dimitar Berbatov,9,2008/2009
6, Stephen Ireland,9,2008/2009
7, Craig Bellamy,8,2008/2009
8, Yossi Benayoun,8,2008/2009
9, Chris Brunt,8,2008/2009
10, Tim Cahill,8,2008/2009
11, Geovanni,8,2008/2009
12, Marouane Fellaini,8,2008/2009
13, Obafemi Martins,8,2008/2009
14, Michael Owen,8,2008/2009
15, James Beattie,7,2008/2009
16, Clint Dempsey,7,2008/2009
17, Andrew Johnson,7,2008/2009
18, Marlon King,7,2008/2009
19, Jason Roberts,7,2008/2009
0, Tuncay Sanli,7,2008/2009
1, Ashley Young,7,2008/2009
2, Andrey Arshavin,6,2008/2009
3, Roman Bednar,6,2008/2009
4, Elano,6,2008/2009
5, Jô,6,2008/2009
6, Salomon Kalou,6,2008/2009
7, Florent Malouda,6,2008/2009
8, Mido,6,2008/2009
9, Samir Nasri,6,2008/2009
10, Leon Osman,6,2008/2009
11, Louis Saha,6,2008/2009
12, Mikel Arteta,5,2008/2009
13, Gareth Barry,5,2008/2009
14, Felipe Caicedo,5,2008/2009
15, Didier Drogba,5,2008/2009
16, Johan Elmander,5,2008/2009
17, Marc-Antoine Fortuné,5,2008/2009
18, Emile Heskey,5,2008/2009
19, Aaron Lennon,5,2008/2009
0, Danny Murphy,5,2008/2009
1, Roman Pavlyuchenko,5,2008/2009
2, Carlos Tevez,5,2008/2009
3, Shaun Wright-Phillips,5,2008/2009
4, Yakubu,4,2008/2009
5, Afonso Alves,4,2008/2009
6, Shola Ameobi,4,2008/2009
7, Keith Andrews,4,2008/2009
8, Michael Carrick,4,2008/2009
9, Daniel Cousin,4,2008/2009
10, David Di Michele,4,2008/2009
11, Ricardo Gardner,4,2008/2009
12, Jermaine Jenas,4,2008/2009
13, Diomansy Kamara,4,2008/2009
14, Joleon Lescott,4,2008/2009
15, Erik Nevland,4,2008/2009
16, Gary O'Neil,4,2008/2009
17, Kieran Richardson,4,2008/2009
18, Roque Santa Cruz,4,2008/2009
19, Daniel Sturridge,4,2008/2009
0, Steven Taylor,4,2008/2009
1, Michael Turner,4,2008/2009
2, Nemanja Vidic,4,2008/2009
3, Abou Diaby,3,2008/2009
4, Xabi Alonso,3,2008/2009
5, Ryan Babel,3,2008/2009
6, Gary Cahill,3,2008/2009
7, Andy Carroll,3,2008/2009
8, Jack Collison,3,2008/2009
9, Deco,3,2008/2009
10, Damien Duff,3,2008/2009
11, Emmanuel Eboué,3,2008/2009
12, Cesc Fàbregas,3,2008/2009
13, Craig Fagan,3,2008/2009
14, Abdoulaye Faye,3,2008/2009
15, Darren Fletcher,3,2008/2009
16, Juliano Belletti,3,2008/2009
17, Glen Johnson,3,2008/2009
18, Niko Kranjcar,3,2008/2009
19, Liam Lawrence,3,2008/2009
0, Peter Løvenkrands,3,2008/2009
1, Ishmael Miller,3,2008/2009
2, James Milner,3,2008/2009
3, Luka Modric,3,2008/2009
4, James Morrison,3,2008/2009
5, Mark Noble,3,2008/2009
6, David Nugent,3,2008/2009
7, Denilson,3,2008/2009
8, Albert Riera,3,2008/2009
9, Hugo Rodallega,3,2008/2009
10, Ryan Shawcross,3,2008/2009
11, Mamady Sidibe,3,2008/2009
12, Steve Sidwell,3,2008/2009
13, Diego Tristán,3,2008/2009
14, Antonio Valencia,3,2008/2009
15, Stephen Warnock,3,2008/2009
16, Jérémie Aliadière,2,2008/2009
17, Dean Ashton,2,2008/2009
18, Fábio Aurélio,2,2008/2009
19, Nadir Belhadj,2,2008/2009
0, José Bosingwa,2,2008/2009
1, Jimmy Bullard,2,2008/2009
2, Henri Camara,2,2008/2009
3, Michael Chopra,2,2008/2009
4, Joe Cole,2,2008/2009
5, Manucho,2,2008/2009
6, Simon Davies,2,2008/2009
7, Rory Delap,2,2008/2009
8, Matt Derbyshire,2,2008/2009
9, Alex,2,2008/2009
10, Matthew Etherington,2,2008/2009
11, William Gallas,2,2008/2009
12, Zoltán Gera,2,2008/2009
13, Ryan Giggs,2,2008/2009
14, Dan Gosling,2,2008/2009
15, Jonathan Greening,2,2008/2009
16, Danny Guthrie,2,2008/2009
17, Hermann Hreidarsson,2,2008/2009
18, Grant Leadbitter,2,2008/2009
19, Federico Macheda,2,2008/2009
0, Bernard Mendy,2,2008/2009
1, David N'Gog,2,2008/2009
2, Charles N'Zogbia,2,2008/2009
3, Seyi Olofinjana,2,2008/2009
4, Jonas Olsson,2,2008/2009
5, André Ooijer,2,2008/2009
6, Park Ji-Sung,2,2008/2009
7, Steven Pienaar,2,2008/2009
8, Christopher Samba,2,2008/2009
9, Paul Scholes,2,2008/2009
10, Mikaël Silvestre,2,2008/2009
11, Junior Stanislas,2,2008/2009
12, Grétar Steinsson,2,2008/2009
13, Ryan Taylor,2,2008/2009
14, Theo Walcott,2,2008/2009
15, Ben Watson,2,2008/2009
16, Bobby Zamora,2,2008/2009
17, Daniel Agger,1,2008/2009
18, Nani,1,2008/2009
19, Victor Anichebe,1,2008/2009
0, Álvaro Arbeloa,1,2008/2009
1, Ian Ashbee,1,2008/2009
2, Leighton Baines,1,2008/2009
3, Michael Ballack,1,2008/2009
4, Nick Barmby,1,2008/2009
5, Joey Barton,1,2008/2009
6, Chris Basham,1,2008/2009
7, Matthew Bates,1,2008/2009
8, Craig Beattie,1,2008/2009
9, Valon Behrami,1,2008/2009
10, David Bentley,1,2008/2009
11, Valeri Bojinov,1,2008/2009
12, Emmerson Boyce,1,2008/2009
13, Titus Bramble,1,2008/2009
14, Wes Brown,1,2008/2009
15, Fraizer Campbell,1,2008/2009
16, Lee Cattermole,1,2008/2009
17, Gaël Clichy,1,2008/2009
18, Tamir Cohen,1,2008/2009
19, Ashley Cole,1,2008/2009
0, Danny Collins,1,2008/2009
1, Vedran Corluka,1,2008/2009
2, Calum Davenport,1,2008/2009
3, Curtis Davies,1,2008/2009
4, Sean Davis,1,2008/2009
5, Andy Dawson,1,2008/2009
6, Michael Dawson,1,2008/2009
7, El Hadji Diouf,1,2008/2009
8, Andrea Dossena,1,2008/2009
9, David Dunn,1,2008/2009
10, Richard Dunne,1,2008/2009
11, David Edgar,1,2008/2009
12, Brett Emerton,1,2008/2009
13, Michael Essien,1,2008/2009
14, Dickson Etuhu,1,2008/2009
15, Ched Evans,1,2008/2009
16, Gelson Fernandes,1,2008/2009
17, Maynor Figueroa,1,2008/2009
18, Caleb Folan,1,2008/2009
19, Richard Garcia,1,2008/2009
0, Javier Garrido,1,2008/2009
1, Darron Gibson,1,2008/2009
2, Brede Hangeland,1,2008/2009
3, David Healy,1,2008/2009
4, Danny Higginbotham,1,2008/2009
5, Sami Hyypiä,1,2008/2009
6, Xisco,1,2008/2009
7, Younes Kaboul,1,2008/2009
8, Kanu,1,2008/2009
