,player_name,touches,year
0, James Milner,122,2018/2019
1, Jean Michael Seri,119,2018/2019
2, Rúben Neves,108,2018/2019
3, César Azpilicueta,106,2018/2019
4, Tom Cairney,105,2018/2019
5, Marcos Alonso,103,2018/2019
6, David Luiz,102,2018/2019
7, Wilfred Ndidi,100,2018/2019
8, Maxime Le Marchand,99,2018/2019
9, Luke Shaw,99,2018/2019
10, Trent Alexander-Arnold,98,2018/2019
11, Cyrus Christie,98,2018/2019
12, Jan Vertonghen,98,2018/2019
13, Kevin McDonald,93,2018/2019
14, Dan Gosling,91,2018/2019
15, Paul Pogba,91,2018/2019
16, Andrew Robertson,91,2018/2019
17, Ben Davies,90,2018/2019
18, Adrien Silva,88,2018/2019
19, Davinson Sánchez,88,2018/2019
0, Willy Boly,87,2018/2019
1, Calum Chambers,86,2018/2019
2, Antonio Rüdiger,86,2018/2019
3, Kyle Walker,86,2018/2019
4, Benjamin Mendy,84,2018/2019
5, Leighton Baines,83,2018/2019
6, Steve Cook,83,2018/2019
7, Christian Eriksen,81,2018/2019
8, Naby Keita,81,2018/2019
9, Charlie Daniels,80,2018/2019
10, Jorginho,80,2018/2019
11, Georginio Wijnaldum,80,2018/2019
12, Ryan Bennett,79,2018/2019
13, Ben Chilwell,79,2018/2019
14, Mark Noble,78,2018/2019
15, Ricardo Pereira,77,2018/2019
16, Serge Aurier,76,2018/2019
17, Etienne Capoue,76,2018/2019
18, Jack Stephens,76,2018/2019
19, John Stones,76,2018/2019
0, Andrew Surman,76,2018/2019
1, Joe Bryan,75,2018/2019
2, Matt Doherty,75,2018/2019
3, Andreas Pereira,75,2018/2019
4, João Moutinho,74,2018/2019
5, Eric Dier,72,2018/2019
6, Aymeric Laporte,72,2018/2019
7, Juan Mata,72,2018/2019
8, Fred,72,2018/2019
9, Abdoulaye Doucouré,71,2018/2019
10, Matteo Guendouzi,71,2018/2019
11, Nathan Aké,70,2018/2019
12, Joseph Gomez,70,2018/2019
13, N'Golo Kanté,70,2018/2019
14, James Tarkowski,70,2018/2019
15, Stephen Ward,70,2018/2019
16, Aaron Mooy,69,2018/2019
17, Aaron Wan-Bissaka,69,2018/2019
18, Conor Coady,68,2018/2019
19, Virgil van Dijk,68,2018/2019
0, Ryan Fraser,67,2018/2019
1, Ilkay Gündogan,67,2018/2019
2, Arthur Masuaku,67,2018/2019
3, Jonjo Shelvey,67,2018/2019
4, DeAndre Yedlin,67,2018/2019
5, Bernardo,66,2018/2019
6, Demarai Gray,66,2018/2019
7, Ben Mee,66,2018/2019
8, Moussa Sissoko,66,2018/2019
9, Idrissa Gueye,65,2018/2019
10, Jamaal Lascelles,65,2018/2019
11, Harry Maguire,65,2018/2019
12, Daryl Janmaat,64,2018/2019
13, Kenedy,64,2018/2019
14, Pedro,64,2018/2019
15, Ryan Sessegnon,64,2018/2019
16, Adam Smith,64,2018/2019
17, Paul Dummett,63,2018/2019
18, Morgan Schneiderlin,63,2018/2019
19, Andros Townsend,63,2018/2019
0, Patrick van Aanholt,63,2018/2019
1, Seamus Coleman,62,2018/2019
2, Michael Keane,62,2018/2019
3, Davy Pröpper,62,2018/2019
4, Dale Stephens,62,2018/2019
5, Dele Alli,61,2018/2019
6, Jonathan Hogg,61,2018/2019
7, Ashley Westwood,61,2018/2019
8, Jack Cork,60,2018/2019
9, Florent Hadergjonaj,60,2018/2019
10, Mario Lemina,60,2018/2019
11, Fernandinho,60,2018/2019
12, Raúl Jiménez,59,2018/2019
13, Matthew Lowton,59,2018/2019
14, Oriol Romeu,59,2018/2019
15, Alexis Sánchez,59,2018/2019
16, Ross Barkley,58,2018/2019
17, José Holebas,58,2018/2019
18, Johann Berg Gudmundsson,57,2018/2019
19, Craig Cathcart,57,2018/2019
0, Riyad Mahrez,57,2018/2019
1, Shkodran Mustafi,57,2018/2019
2, Roberto Pereyra,57,2018/2019
3, Petr Cech,56,2018/2019
4, Shane Duffy,56,2018/2019
5, Joshua King,56,2018/2019
6, Nathan Redmond,56,2018/2019
7, Matteo Darmian,55,2018/2019
8, Mesut Özil,55,2018/2019
9, Granit Xhaka,55,2018/2019
10, Wilfried Zaha,55,2018/2019
11, Fabián Balbuena,54,2018/2019
12, Philip Billing,54,2018/2019
13, Richarlison,54,2018/2019
14, Lewis Dunk,54,2018/2019
15, James Maddison,54,2018/2019
16, Jack Wilshere,54,2018/2019
17, Christian Kabasele,53,2018/2019
18, Sadio Mané,53,2018/2019
19, Sokratis,53,2018/2019
0, Joe Bennett,52,2018/2019
1, Harry Kane,52,2018/2019
2, Anthony Knockaert,52,2018/2019
3, Wes Morgan,52,2018/2019
4, Ederson,52,2018/2019
5, Willian,51,2018/2019
6, Jonny,51,2018/2019
7, Diogo Jota,51,2018/2019
8, Jannik Vestergaard,51,2018/2019
9, Héctor Bellerín,50,2018/2019
10, Ryan Bertrand,50,2018/2019
11, Joe Ralls,50,2018/2019
12, Raheem Sterling,50,2018/2019
13, James Tomkins,50,2018/2019
14, Daniel Amartey,49,2018/2019
15, Mohamed Diamé,49,2018/2019
16, Martin Dubravka,49,2018/2019
17, Wesley Hoedt,49,2018/2019
18, Zanka,49,2018/2019
19, Victor Lindelöf,49,2018/2019
0, Luka Milivojevic,49,2018/2019
1, Ciaran Clark,48,2018/2019
2, Sean Morrison,48,2018/2019
3, Callum Wilson,48,2018/2019
4, Roberto Firmino,47,2018/2019
5, Mohamed Salah,47,2018/2019
6, Ryan Fredericks,46,2018/2019
7, Ben Hamer,46,2018/2019
8, David Junior Hoilett,46,2018/2019
9, Felipe Anderson,46,2018/2019
10, Ben Foster,45,2018/2019
11, Stephan Lichtsteiner,45,2018/2019
12, James McArthur,45,2018/2019
13, Will Hughes,44,2018/2019
14, Hugo Lloris,44,2018/2019
15, Henrikh Mkhitaryan,44,2018/2019
16, Álvaro Morata,44,2018/2019
17, Steve Mounie,44,2018/2019
18, Angelo Ogbonna,44,2018/2019
19, Bernardo Silva,44,2018/2019
0, Jeff Hendrick,43,2018/2019
1, Mamadou Sakho,43,2018/2019
2, Kepa Arrizabalaga,42,2018/2019
3, Gaëtan Bong,42,2018/2019
4, Lukasz Fabianski,41,2018/2019
5, Terence Kongolo,41,2018/2019
6, Bobby Reid,41,2018/2019
7, Mat Ryan,41,2018/2019
8, Jordan Pickford,40,2018/2019
9, Matt Ritchie,40,2018/2019
10, André Schürrle,40,2018/2019
11, Michail Antonio,39,2018/2019
12, Eric Bailly,39,2018/2019
13, David Brooks,39,2018/2019
14, Neil Etheridge,39,2018/2019
15, Lee Peltier,39,2018/2019
16, Christopher Schindler,39,2018/2019
17, Sol Bamba,38,2018/2019
18, Christian Benteke,38,2018/2019
19, Wayne Hennessey,38,2018/2019
0, Solly March,38,2018/2019
1, Alisson,38,2018/2019
2, Marcus Rashford,38,2018/2019
3, Ayoze Pérez,37,2018/2019
4, Cenk Tosun,37,2018/2019
5, Fabri,36,2018/2019
6, Joselu,36,2018/2019
7, Sergio Agüero,35,2018/2019
8, Chris Löwe,35,2018/2019
9, Lucas Moura,35,2018/2019
10, Jeffrey Schlupp,35,2018/2019
11, Bruno Ecuele Manga,34,2018/2019
12, Kelechi Iheanacho,34,2018/2019
13, Troy Deeney,33,2018/2019
14, Joe Hart,33,2018/2019
15, Aaron Lennon,33,2018/2019
16, Nathaniel Mendez-Laing,33,2018/2019
17, Kasper Schmeichel,33,2018/2019
18, Mousa Dembélé,32,2018/2019
19, Eden Hazard,32,2018/2019
0, Glenn Murray,32,2018/2019
1, Callum Paterson,32,2018/2019
2, Mohamed Elyounoussi,31,2018/2019
3, Alex McCarthy,31,2018/2019
4, Aleksandar Mitrovic,31,2018/2019
5, Theo Walcott,31,2018/2019
6, Kevin De Bruyne,30,2018/2019
7, Mason Holgate,30,2018/2019
8, Hélder Costa,30,2018/2019
9, Danny Ings,29,2018/2019
10, Chris Wood,29,2018/2019
11, Pierre-Emerick Aubameyang,28,2018/2019
12, David De Gea,28,2018/2019
13, Phil Jagielka,28,2018/2019
14, Declan Rice,27,2018/2019
15, Pascal Groß,26,2018/2019
16, Ainsley Maitland-Niles,26,2018/2019
17, Jordan Henderson,24,2018/2019
18, Cédric Soares,22,2018/2019
19, Stuart Armstrong,22,2018/2019
0, Rachid Ghezzal,22,2018/2019
1, Andre Gray,22,2018/2019
2, Aboubakar Kamara,22,2018/2019
3, Yves Bissouma,21,2018/2019
4, Laurent Depoitre,21,2018/2019
5, Rui Patrício,21,2018/2019
6, Asmir Begovic,20,2018/2019
7, Alex Pritchard,20,2018/2019
8, Vicente Iborra,19,2018/2019
9, Aaron Ramsey,19,2018/2019
10, Rúben Vinagre,19,2018/2019
11, Robert Snodgrass,19,2018/2019
12, Lucas Torreira,19,2018/2019
13, Charlie Austin,18,2018/2019
14, Gylfi Sigurdsson,18,2018/2019
15, Marko Arnautovic,17,2018/2019
16, Simon Francis,17,2018/2019
17, Josh Murphy,17,2018/2019
18, Isaac Success,17,2018/2019
19, Xherdan Shaqiri,16,2018/2019
0, Alexandre Lacazette,15,2018/2019
1, Bruno,15,2018/2019
2, Christian Atsu,14,2018/2019
3, Luciano Vietto,14,2018/2019
4, Léo Bonatini,13,2018/2019
5, Ruben Loftus-Cheek,13,2018/2019
6, Oumar Niasse,13,2018/2019
7, Danny Ward,13,2018/2019
8, Stefan Johansen,12,2018/2019
9, Andriy Yarmolenko,12,2018/2019
10, Gabriel Jesus,11,2018/2019
11, Adama Diakhaby,11,2018/2019
12, Salomón Rondón,11,2018/2019
13, Son Heung-Min,11,2018/2019
14, Sam Vokes,11,2018/2019
15, Morgan Gibbs-White,10,2018/2019
16, Yoshinori Muto,10,2018/2019
17, Leroy Sané,10,2018/2019
18, Ken Sema,9,2018/2019
19, Alireza Jahanbakhsh,8,2018/2019
0, Romelu Lukaku,8,2018/2019
1, Daniel Sturridge,8,2018/2019
2, Chicharito,7,2018/2019
3, Scott McTominay,7,2018/2019
4, Alexander Sørloth,7,2018/2019
5, Manolo Gabbiadini,6,2018/2019
6, Jamie Vardy,6,2018/2019
7, Marouane Fellaini,5,2018/2019
8, Kiko Femenía,5,2018/2019
9, Victor Moses,5,2018/2019
10, Pape Souaré,5,2018/2019
11, Luke Amos,4,2018/2019
12, Ashley Barnes,4,2018/2019
13, Cheikhou Kouyaté,4,2018/2019
14, Lucas Digne,2,2018/2019
15, Gary Madine,1,2018/2019
0, Granit Xhaka,3688,2017/2018
1, Kevin De Bruyne,3542,2017/2018
2, Nicolás Otamendi,3456,2017/2018
3, Fernandinho,3410,2017/2018
4, César Azpilicueta,3340,2017/2018
5, Nemanja Matic,3117,2017/2018
6, Christian Eriksen,3016,2017/2018
7, Jan Vertonghen,3016,2017/2018
8, Kyle Walker,3011,2017/2018
9, David Silva,2832,2017/2018
10, Abdoulaye Doucouré,2803,2017/2018
11, N'Golo Kanté,2672,2017/2018
12, Kyle Naughton,2651,2017/2018
13, Eric Dier,2644,2017/2018
14, Cesc Fàbregas,2643,2017/2018
15, Héctor Bellerín,2606,2017/2018
16, Aaron Mooy,2539,2017/2018
17, Charlie Daniels,2401,2017/2018
18, Antonio Valencia,2364,2017/2018
19, Ryan Bertrand,2357,2017/2018
0, Jordan Henderson,2350,2017/2018
1, Oriol Romeu,2329,2017/2018
2, Harry Maguire,2315,2017/2018
3, Wilfred Ndidi,2312,2017/2018
4, Simon Francis,2294,2017/2018
5, Paul Pogba,2224,2017/2018
6, Alfie Mawson,2211,2017/2018
7, Davinson Sánchez,2211,2017/2018
8, Luka Milivojevic,2198,2017/2018
9, Mesut Özil,2195,2017/2018
10, Dale Stephens,2186,2017/2018
11, Marcos Alonso,2179,2017/2018
12, Alexis Sánchez,2165,2017/2018
13, Cédric Soares,2140,2017/2018
14, Pablo Zabaleta,2134,2017/2018
15, Shkodran Mustafi,2129,2017/2018
16, Nacho Monreal,2124,2017/2018
17, Virgil van Dijk,2118,2017/2018
18, Laurent Koscielny,2113,2017/2018
19, Jack Cork,2106,2017/2018
0, Nathan Aké,2104,2017/2018
1, Riyad Mahrez,2104,2017/2018
2, Idrissa Gueye,2103,2017/2018
3, Lewis Dunk,2100,2017/2018
4, Aaron Cresswell,2095,2017/2018
5, Dejan Lovren,2089,2017/2018
6, Ashley Young,2083,2017/2018
7, Zanka,2077,2017/2018
8, Ben Davies,2048,2017/2018
9, Fabian Delph,2043,2017/2018
10, Antonio Rüdiger,2029,2017/2018
11, Eden Hazard,2010,2017/2018
12, Joe Allen,1976,2017/2018
13, Christopher Schindler,1973,2017/2018
14, Shane Duffy,1960,2017/2018
15, Dele Alli,1951,2017/2018
16, Martin Olsson,1945,2017/2018
17, Joel Matip,1919,2017/2018
18, Emre Can,1909,2017/2018
19, Andrew Robertson,1905,2017/2018
0, James Milner,1904,2017/2018
1, José Holebas,1890,2017/2018
2, Kieran Trippier,1886,2017/2018
3, Joseph Gomez,1882,2017/2018
4, Steve Cook,1871,2017/2018
5, Davy Pröpper,1871,2017/2018
6, Tom Carroll,1864,2017/2018
7, Yohan Cabaye,1856,2017/2018
8, Andros Townsend,1851,2017/2018
9, DeAndre Yedlin,1823,2017/2018
10, Jonathan Hogg,1816,2017/2018
11, Pascal Groß,1799,2017/2018
12, Sead Kolasinac,1780,2017/2018
13, Erik Pieters,1779,2017/2018
14, Wesley Hoedt,1771,2017/2018
15, Ahmed Hegazi,1768,2017/2018
16, Jonjo Shelvey,1757,2017/2018
17, Roberto Firmino,1754,2017/2018
18, Kieran Gibbs,1750,2017/2018
19, Mousa Dembélé,1747,2017/2018
0, Dusan Tadic,1744,2017/2018
1, Xherdan Shaqiri,1735,2017/2018
2, Raheem Sterling,1719,2017/2018
3, Matt Ritchie,1716,2017/2018
4, Marc Albrighton,1709,2017/2018
5, Mark Noble,1705,2017/2018
6, Kurt Zouma,1699,2017/2018
7, Leroy Sané,1679,2017/2018
8, Manuel Lanzini,1669,2017/2018
9, Ilkay Gündogan,1652,2017/2018
10, Mohamed Salah,1643,2017/2018
11, Lewis Cook,1637,2017/2018
12, Stephen Ward,1627,2017/2018
13, Jordan Ayew,1616,2017/2018
14, Gary Cahill,1616,2017/2018
15, Andreas Christensen,1614,2017/2018
16, Federico Fernández,1599,2017/2018
17, Michael Keane,1593,2017/2018
18, Georginio Wijnaldum,1593,2017/2018
19, Jonas Lössl,1592,2017/2018
0, Jamaal Lascelles,1591,2017/2018
1, Aaron Ramsey,1588,2017/2018
2, Richarlison,1583,2017/2018
3, Vincent Kompany,1579,2017/2018
4, James Tarkowski,1577,2017/2018
5, Wayne Rooney,1566,2017/2018
6, Jordan Pickford,1556,2017/2018
7, Ben Chilwell,1554,2017/2018
8, Trent Alexander-Arnold,1539,2017/2018
9, Juan Mata,1538,2017/2018
10, Matthew Lowton,1521,2017/2018
11, Danny Simpson,1519,2017/2018
12, Ben Mee,1517,2017/2018
13, Jack Butland,1516,2017/2018
14, Christian Fuchs,1516,2017/2018
15, Chris Smalling,1514,2017/2018
16, Patrick van Aanholt,1513,2017/2018
17, James McArthur,1511,2017/2018
18, Adam Smith,1501,2017/2018
19, Lukasz Fabianski,1496,2017/2018
0, Craig Dawson,1495,2017/2018
1, Tiemoué Bakayoko,1494,2017/2018
2, Anthony Knockaert,1494,2017/2018
3, Salomón Rondón,1483,2017/2018
4, Jake Livermore,1463,2017/2018
5, Johann Berg Gudmundsson,1459,2017/2018
6, Tom Cleverley,1454,2017/2018
7, Bruno,1452,2017/2018
8, Victor Moses,1449,2017/2018
9, Nick Pope,1448,2017/2018
10, Danilo,1446,2017/2018
11, Pierre-Emile Højbjerg,1443,2017/2018
12, Morgan Schneiderlin,1439,2017/2018
13, Alex Iwobi,1437,2017/2018
14, Allan Nyom,1433,2017/2018
15, Sadio Mané,1431,2017/2018
16, Wilfried Zaha,1427,2017/2018
17, Andrew Surman,1423,2017/2018
18, Angelo Ogbonna,1417,2017/2018
19, Willian,1416,2017/2018
0, Florian Lejeune,1415,2017/2018
1, Cheikhou Kouyaté,1411,2017/2018
2, Henrikh Mkhitaryan,1407,2017/2018
3, Son Heung-Min,1402,2017/2018
4, Dan Gosling,1392,2017/2018
5, Gaëtan Bong,1390,2017/2018
6, Mat Ryan,1388,2017/2018
7, Phil Jones,1379,2017/2018
8, Ragnar Klavan,1379,2017/2018
9, Maya Yoshida,1378,2017/2018
10, Tommy Smith,1375,2017/2018
11, John Stones,1374,2017/2018
12, Arthur Masuaku,1371,2017/2018
13, Asmir Begovic,1364,2017/2018
14, Hugo Lloris,1358,2017/2018
15, Cuco Martina,1353,2017/2018
16, Darren Fletcher,1350,2017/2018
17, Adrian Mariappa,1342,2017/2018
18, Thibaut Courtois,1338,2017/2018
19, Phil Jagielka,1334,2017/2018
0, Mario Lemina,1330,2017/2018
1, Ben Foster,1325,2017/2018
2, Chris Brunt,1323,2017/2018
3, Kasper Schmeichel,1323,2017/2018
4, James Tomkins,1322,2017/2018
5, Ander Herrera,1318,2017/2018
6, Alex Oxlade-Chamberlain,1308,2017/2018
7, Jesse Lingard,1307,2017/2018
8, Steven Defour,1301,2017/2018
9, Daryl Janmaat,1300,2017/2018
10, Serge Aurier,1298,2017/2018
11, Jonny Evans,1292,2017/2018
12, Joshua King,1291,2017/2018
13, Steven Davis,1279,2017/2018
14, Jack Stephens,1276,2017/2018
15, Ayoze Pérez,1274,2017/2018
16, Ryan Fraser,1268,2017/2018
17, Christian Kabasele,1265,2017/2018
18, Harry Kane,1263,2017/2018
19, Wes Morgan,1259,2017/2018
0, David De Gea,1249,2017/2018
1, Kiko Femenía,1246,2017/2018
2, Rajiv van La Parra,1244,2017/2018
3, Bernardo Silva,1237,2017/2018
4, Ederson,1236,2017/2018
5, Jay Rodriguez,1232,2017/2018
6, Mohamed Diamé,1230,2017/2018
7, Petr Cech,1227,2017/2018
8, Nathan Redmond,1225,2017/2018
9, Gylfi Sigurdsson,1211,2017/2018
10, Leighton Baines,1204,2017/2018
11, Joel Ward,1200,2017/2018
12, Eric Maxim Choupo-Moting,1191,2017/2018
13, Gareth Barry,1187,2017/2018
14, Ruben Loftus-Cheek,1183,2017/2018
15, Marko Arnautovic,1179,2017/2018
16, Mike van der Hoorn,1179,2017/2018
17, Jordon Ibe,1174,2017/2018
18, Mikel Merino,1163,2017/2018
19, Solly March,1152,2017/2018
0, Jeffrey Schlupp,1146,2017/2018
1, Etienne Capoue,1141,2017/2018
2, Alberto Moreno,1138,2017/2018
3, Tom Ince,1133,2017/2018
4, Romelu Lukaku,1128,2017/2018
5, Anthony Martial,1128,2017/2018
6, Florent Hadergjonaj,1120,2017/2018
7, James Ward-Prowse,1120,2017/2018
8, Sam Clucas,1112,2017/2018
9, Grzegorz Krychowiak,1110,2017/2018
10, Jonjoe Kenny,1106,2017/2018
11, Chris Löwe,1095,2017/2018
12, Alexandre Lacazette,1093,2017/2018
13, André Carrillo,1089,2017/2018
14, Ryan Shawcross,1088,2017/2018
15, Ki Sung-yueng,1086,2017/2018
16, Matt Phillips,1085,2017/2018
17, Moussa Sissoko,1083,2017/2018
18, Jeff Hendrick,1075,2017/2018
19, Toby Alderweireld,1059,2017/2018
0, Vicente Iborra,1058,2017/2018
1, Mame Biram Diouf,1048,2017/2018
2, Ashley Williams,1043,2017/2018
3, Pedro Obiang,1040,2017/2018
4, Jack Wilshere,1035,2017/2018
5, Tom Davies,1032,2017/2018
6, Marcus Rashford,1030,2017/2018
7, Roberto Pereyra,1028,2017/2018
8, Christian Benteke,1027,2017/2018
9, Glenn Murray,1013,2017/2018
10, Sergio Agüero,1007,2017/2018
11, Álvaro Morata,1006,2017/2018
12, Paul Dummett,1004,2017/2018
13, Javier Manquillo,998,2017/2018
14, Coutinho,996,2017/2018
15, Timothy Fosu-Mensah,992,2017/2018
16, Ciaran Clark,974,2017/2018
17, Mamadou Sakho,968,2017/2018
18, Pedro,966,2017/2018
19, Demarai Gray,961,2017/2018
0, Mohamed Elneny,943,2017/2018
1, Wayne Hennessey,937,2017/2018
2, Sofiane Boufal,932,2017/2018
3, Scott Malone,932,2017/2018
4, Victor Lindelöf,928,2017/2018
5, Ashley Barnes,926,2017/2018
6, Heurelho Gomes,890,2017/2018
7, Aymeric Laporte,889,2017/2018
8, André Ayew,875,2017/2018
9, Joselu,875,2017/2018
10, Winston Reid,874,2017/2018
11, Leroy Fer,873,2017/2018
12, Davide Zappacosta,872,2017/2018
13, Gabriel Jesus,860,2017/2018
14, Michail Antonio,850,2017/2018
15, Christian Atsu,846,2017/2018
16, Steve Mounie,846,2017/2018
17, Dominic Calvert-Lewin,845,2017/2018
18, José Izquierdo,845,2017/2018
19, Jamie Vardy,842,2017/2018
0, Geoff Cameron,833,2017/2018
1, Ezequiel Schelotto,817,2017/2018
2, Peter Crouch,811,2017/2018
3, Kevin Long,810,2017/2018
4, Ainsley Maitland-Niles,810,2017/2018
5, Aaron Lennon,797,2017/2018
6, Robbie Brady,794,2017/2018
7, Victor Wanyama,787,2017/2018
8, Oleksandr Zinchenko,787,2017/2018
9, Phil Bardsley,784,2017/2018
10, Calum Chambers,784,2017/2018
11, Kevin Wimmer,782,2017/2018
12, Isaac Hayden,780,2017/2018
13, Declan Rice,778,2017/2018
14, Laurent Depoitre,776,2017/2018
15, Nathan Dyer,775,2017/2018
16, Sebastian Prödl,775,2017/2018
17, Junior Stanislas,775,2017/2018
18, Scott Dann,768,2017/2018
19, Troy Deeney,761,2017/2018
0, Harry Winks,761,2017/2018
1, Mason Holgate,749,2017/2018
2, Rob Holding,748,2017/2018
3, Markus Suttner,743,2017/2018
4, James McClean,736,2017/2018
5, Callum Wilson,729,2017/2018
6, Ashley Westwood,727,2017/2018
7, Marvin Zeegelaar,727,2017/2018
8, Collin Quaner,713,2017/2018
9, Harry Arter,708,2017/2018
10, Andy King,705,2017/2018
11, Dwight Gayle,699,2017/2018
12, Luke Shaw,699,2017/2018
13, Loris Karius,698,2017/2018
14, Adrián,696,2017/2018
15, Danny Rose,692,2017/2018
16, Joe Hart,687,2017/2018
17, Shane Long,685,2017/2018
18, Seamus Coleman,681,2017/2018
19, Marc Pugh,678,2017/2018
0, Simon Mignolet,677,2017/2018
1, Ramadan Sobhi,673,2017/2018
2, Moritz Bauer,661,2017/2018
3, Erik Lamela,655,2017/2018
4, João Mário,654,2017/2018
5, Chris Wood,648,2017/2018
6, Kenedy,643,2017/2018
7, David Luiz,641,2017/2018
8, Shinji Okazaki,632,2017/2018
9, Chicharito,629,2017/2018
10, Robert Elliot,624,2017/2018
11, Charlie Taylor,616,2017/2018
12, Theo Walcott,610,2017/2018
13, Danny Welbeck,610,2017/2018
14, Fraser Forster,605,2017/2018
15, Danny Williams,605,2017/2018
16, Will Hughes,602,2017/2018
17, Tammy Abraham,597,2017/2018
18, Terence Kongolo,591,2017/2018
19, Roque Mesa,582,2017/2018
0, Matty James,581,2017/2018
1, Renato Sanches,579,2017/2018
2, Scott Arfield,578,2017/2018
3, Badou Ndiaye,577,2017/2018
4, Alex Pritchard,577,2017/2018
5, Eric Bailly,575,2017/2018
6, James Collins,575,2017/2018
7, Elias Kachunga,570,2017/2018
8, Adrien Silva,559,2017/2018
9, Alex McCarthy,550,2017/2018
10, Jacob Murphy,549,2017/2018
11, Olivier Giroud,536,2017/2018
12, Martin Kelly,536,2017/2018
13, Marouane Fellaini,522,2017/2018
14, Bruno Martins Indi,521,2017/2018
15, Philip Billing,520,2017/2018
16, Claudio Yacob,517,2017/2018
17, Miguel Britos,510,2017/2018
18, Oumar Niasse,497,2017/2018
19, Andre Gray,491,2017/2018
0, Eliaquim Mangala,487,2017/2018
1, Orestis Karnezis,469,2017/2018
2, Aleksandar Dragovic,465,2017/2018
3, Marcos Rojo,463,2017/2018
4, Daniel Drinkwater,456,2017/2018
5, Pierre-Emerick Aubameyang,455,2017/2018
6, José Fonte,454,2017/2018
7, Yaya Touré,446,2017/2018
8, Aaron Wan-Bissaka,444,2017/2018
9, Yannick Bolasie,440,2017/2018
10, Scott McTominay,436,2017/2018
11, Charlie Austin,422,2017/2018
12, Edimilson Fernandes,413,2017/2018
13, Sam Vokes,409,2017/2018
14, Cenk Tosun,402,2017/2018
15, Martin Dubravka,401,2017/2018
16, Karl Darlow,395,2017/2018
17, Kelechi Iheanacho,390,2017/2018
18, Chancel Mbemba,387,2017/2018
19, Andy Carroll,383,2017/2018
0, Hal Robson-Kanu,380,2017/2018
1, Daniel Amartey,378,2017/2018
2, Fousseni Diabaté,377,2017/2018
3, Charlie Adam,369,2017/2018
4, Tomer Hemed,367,2017/2018
5, Julian Speroni,361,2017/2018
6, Beram Kayal,345,2017/2018
7, Jason Puncheon,337,2017/2018
8, Nikola Vlasic,337,2017/2018
9, Dominic Solanke,336,2017/2018
10, Lys Mousset,333,2017/2018
11, Luciano Narsingh,333,2017/2018
12, Wilfried Bony,329,2017/2018
13, Daley Blind,325,2017/2018
14, Benjamin Mendy,325,2017/2018
15, Matteo Darmian,321,2017/2018
16, Manolo Gabbiadini,318,2017/2018
17, Glen Johnson,313,2017/2018
18, Ben Watson,304,2017/2018
19, Per Mertesacker,294,2017/2018
0, Adam Lallana,283,2017/2018
1, Thomas Edwards,279,2017/2018
2, Jesé,266,2017/2018
3, Sam Field,262,2017/2018
4, Jermain Defoe,260,2017/2018
5, Nathaniel Chalobah,259,2017/2018
6, Stefano Okaka,257,2017/2018
7, Daniel Sturridge,253,2017/2018
8, Craig Cathcart,250,2017/2018
9, Benik Afobe,246,2017/2018
10, Gerard Deulofeu,246,2017/2018
11, Bakary Sako,246,2017/2018
12, Wayne Routledge,243,2017/2018
13, Oliver Burke,240,2017/2018
14, Jan Bednarek,239,2017/2018
15, Islam Slimani,232,2017/2018
16, Hamza Choudhury,223,2017/2018
17, Jairo Riedewald,222,2017/2018
18, Emerson,220,2017/2018
19, Connor Roberts,208,2017/2018
0, Konstantinos Stafylidis,208,2017/2018
1, Leonardo Ulloa,206,2017/2018
2, Molla Wagué,205,2017/2018
3, Isaiah Brown,183,2017/2018
4, Alexander Sørloth,179,2017/2018
5, Gareth McAuley,178,2017/2018
6, Sam Byram,177,2017/2018
7, Guido Carrillo,176,2017/2018
8, Kyle Walker-Peters,173,2017/2018
9, David Ospina,169,2017/2018
10, Lucas Moura,167,2017/2018
11, Georges-Kévin Nkoudou,164,2017/2018
12, Nathaniel Clyne,161,2017/2018
13, Jérémy Pied,159,2017/2018
14, Michy Batshuayi,157,2017/2018
15, Leon Britton,157,2017/2018
16, Patrice Evra,157,2017/2018
17, Kyle Bartley,155,2017/2018
18, Saido Berahino,154,2017/2018
19, Diafra Sakho,144,2017/2018
0, Tyrone Mings,143,2017/2018
1, Oliver McBurnie,142,2017/2018
2, Sandro Ramírez,142,2017/2018
3, Abdelhamid Sabiri,139,2017/2018
4, James McCarthy,138,2017/2018
5, Angel Rangel,137,2017/2018
6, Matt Targett,137,2017/2018
7, Tom Heaton,131,2017/2018
8, Konstantinos Mavropanos,131,2017/2018
9, Fernando Llorente,130,2017/2018
10, Danny Ings,127,2017/2018
11, Davy Klaassen,125,2017/2018
12, Joe Lolley,115,2017/2018
13, Willy Caballero,114,2017/2018
14, Francis Coquelin,114,2017/2018
15, Michael Carrick,113,2017/2018
16, Martin Cranie,113,2017/2018
17, Josh Tymon,112,2017/2018
18, Liam Rosenior,111,2017/2018
19, Nordin Amrabat,110,2017/2018
0, Beni Baningime,110,2017/2018
1, James Morrison,110,2017/2018
2, Connor Goldson,109,2017/2018
3, Reiss Nelson,107,2017/2018
4, Lee Grant,104,2017/2018
5, Josh Sims,104,2017/2018
6, Younes Kaboul,102,2017/2018
7, Nacer Chadli,100,2017/2018
8, Sam McQueen,100,2017/2018
9, Ben Hamer,97,2017/2018
10, Lee Chung-yong,97,2017/2018
11, Ibrahim Afellay,94,2017/2018
